reporting_entity_name_in_network_files,provider_group_id,provider_group_id_type,sub_npi,negotiation_arrangement,billing_code,billing_code_type,billing_code_name,billing_code_modifier,negotiated_type,negotiated_rate,billing_class,provider_name,provider_city,provider_state,provider_zip_code
UnitedHealthcare Insurance Company,10263628,ein,1891808994,ffs,15777,CPT,IMPLNT BIO IMPLNT FOR SOFT TISSUE REINFORCEMENT,,negotiated,361.15,professional,Howard R Margolskee,Pittsfield,ME,4967
UnitedHealthcare Insurance Company,10263628,ein,1891808994,ffs,47562,CPT,LAPAROSCOPY SURG CHOLECYSTECTOMY,,negotiated,1107.23,professional,Howard R Margolskee,Pittsfield,ME,4967
UnitedHealthcare Insurance Company,10263628,ein,1891808994,ffs,33249,CPT,INSJ//RPLCMT PERM DFB W//TRNSVNS LDS 1//DUAL CHMBR,,negotiated,1563.03,professional,Howard R Margolskee,Pittsfield,ME,4967
UnitedHealthcare Insurance Company,10263628,ein,1891808994,ffs,77373,CPT,STEREOTACTIC BODY RADIATION DELIVERY,,negotiated,2209.9,professional,Howard R Margolskee,Pittsfield,ME,4967
UnitedHealthcare Insurance Company,10263628,ein,1891808994,ffs,36522,CPT,PHOTOPHERESIS EXTRACORPOREAL,,negotiated,2294.64,professional,Howard R Margolskee,Pittsfield,ME,4967
UnitedHealthcare Insurance Company,10512139,ein,1457387904,ffs,77373,CPT,STEREOTACTIC BODY RADIATION DELIVERY,,negotiated,2268.4,professional,Hammond Associates,Portland,ME,4103
UnitedHealthcare Insurance Company,10553632,ein,1205100559,ffs,15777,CPT,IMPLNT BIO IMPLNT FOR SOFT TISSUE REINFORCEMENT,,negotiated,386.3,professional,Kabul S Garg,New Haven,CT,6511
UnitedHealthcare Insurance Company,10553632,ein,1205100559,ffs,47562,CPT,LAPAROSCOPY SURG CHOLECYSTECTOMY,,negotiated,1545.47,professional,Kabul S Garg,New Haven,CT,6511
UnitedHealthcare Insurance Company,10553632,ein,1205100559,ffs,77373,CPT,STEREOTACTIC BODY RADIATION DELIVERY,,negotiated,2931.47,professional,Kabul S Garg,New Haven,CT,6511
UnitedHealthcare Insurance Company,10553632,ein,1205100559,ffs,33249,CPT,INSJ//RPLCMT PERM DFB W//TRNSVNS LDS 1//DUAL CHMBR,,negotiated,3124.16,professional,Kabul S Garg,New Haven,CT,6511
UnitedHealthcare Insurance Company,10553632,ein,1205100559,ffs,36522,CPT,PHOTOPHERESIS EXTRACORPOREAL,,negotiated,8513.97,professional,Kabul S Garg,New Haven,CT,6511
Blue Cross and Blue Shield of Texas,10555210,ein,1902921000,ffs,15777,CPT,ACELLULAR DERM MATRIX IMPLT,,negotiated,169.5,professional,Todd J Swick,Houston,TX,77063
Blue Cross and Blue Shield of Texas,10555210,ein,1902921000,ffs,47562,CPT,LAPAROSCOPIC CHOLECYSTECTOMY,,negotiated,517.18,professional,Todd J Swick,Houston,TX,77063
Blue Cross and Blue Shield of Texas,10839544,ein,1437103587,ffs,77373,CPT,SBRT DELIVERY,,negotiated,0,institutional,Sage Bariatric Institute,San Antonio,TX,78240
UnitedHealthcare Insurance Company,20222215,ein,1821616269,ffs,785,MS-DRG,Cesarean Section with Sterilization without CC//MCC,,negotiated,9920.91,institutional,St Joseph Hospital Of Nh,Nashua,NH,3060
UnitedHealthcare Insurance Company,20222215,ein,1821616269,ffs,178,MS-DRG,Respiratory Infections and Inflammations with CC,,negotiated,11823.3,institutional,St Joseph Hospital Of Nh,Nashua,NH,3060
UnitedHealthcare Insurance Company,20222215,ein,1821616269,ffs,121,MS-DRG,Acute Major Eye Infections with CC//MCC,,negotiated,13327.59,institutional,St Joseph Hospital Of Nh,Nashua,NH,3060
UnitedHealthcare Insurance Company,20222215,ein,1821616269,ffs,470,MS-DRG,Major Hip and Knee Joint Replacement or Reattachment of Lower Extremity without MCC,,negotiated,20795.74,institutional,St Joseph Hospital Of Nh,Nashua,NH,3060
UnitedHealthcare Insurance Company,20222215,ein,1821616269,ffs,455,MS-DRG,Combined Anterior and Posterior Spinal Fusion without CC//MCC,,negotiated,52079.08,institutional,St Joseph Hospital Of Nh,Nashua,NH,3060
UnitedHealthcare Insurance Company,20222215,ein,1821616269,ffs,928,MS-DRG,Full Thickness Burn with Skin Graft or Inhalation Injury with CC//MCC,,negotiated,67342.77,institutional,St Joseph Hospital Of Nh,Nashua,NH,3060
Aetna Life insurance Company,20260334,ein,1407385198,ffs,470,MS-DRG,MAJOR JOINT REPLACEMENT,,negotiated,44513,institutional,Wentworth Douglass Hospital,Dover,NH,3820
Aetna Life insurance Company,20260334,ein,1407385198,ffs,455,MS-DRG,COMBINED ANTERIOR//POSTERIOR,,negotiated,89182,institutional,Wentworth Douglass Hospital,Dover,NH,3820
Fallon Health,20350094,ein,1093769408,ffs,15777,CPT,IMPLNT BIO IMPLNT FOR SOFT TISSUE REINFORCEMENT,"26,TC,QW",negotiated,222.91,institutional,Sunbridge Clipper Home Of Portsmouth,Portsmouth,NH,3801
Fallon Health,20350094,ein,1093769408,ffs,47562,CPT,LAPAROSCOPIC CHOLECYSTECTOMY,"26,TC,QW",negotiated,693.07,institutional,Sunbridge Clipper Home Of Portsmouth,Portsmouth,NH,3801
Fallon Health,20350094,ein,1093769408,ffs,33249,CPT,NSERT PACE-DEFIB W//LEAD,"26,TC,QW",negotiated,952.21,institutional,Sunbridge Clipper Home Of Portsmouth,Portsmouth,NH,3801
Fallon Health,20350094,ein,1093769408,ffs,77373,CPT,SBRT DELIVERY,"26,TC,QW",negotiated,1101.76,institutional,Sunbridge Clipper Home Of Portsmouth,Portsmouth,NH,3801
Fallon Health,20350094,ein,1093769408,ffs,36522,CPT,PHOTOPHERESIS,"26,TC,QW",negotiated,1532.93,institutional,Sunbridge Clipper Home Of Portsmouth,Portsmouth,NH,3801
Blue Cross and Blue Shield of Texas,20555370,ein,1629064928,ffs,178,MS-DRG,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,,percentage,80,institutional,Texas Health Southlake,Southlake,TX,76092
Blue Cross and Blue Shield of Texas,20555370,ein,1629064928,ffs,455,MS-DRG,COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION WITHOUT CC MCC,,percentage,80,institutional,Texas Health Southlake,Southlake,TX,76092
Blue Cross and Blue Shield of Texas,20555370,ein,1629064928,ffs,470,MS-DRG,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,,percentage,80,institutional,Texas Health Southlake,Southlake,TX,76092
Blue Cross and Blue Shield of Texas,20555370,ein,1629064928,ffs,928,MS-DRG,FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITH CC MCC,,percentage,80,institutional,Texas Health Southlake,Southlake,TX,76092
Blue Cross and Blue Shield of Texas,20555370,ein,1629064928,ffs,15777,CPT,ACELLULAR DERM MATRIX IMPLT,,percentage,80,institutional,Texas Health Southlake,Southlake,TX,76092
Blue Cross and Blue Shield of Texas,20555370,ein,1629064928,ffs,33249,CPT,INSJ RPLCMT DEFIB W LEAD S ,,percentage,80,institutional,Texas Health Southlake,Southlake,TX,76092
Blue Cross and Blue Shield of Texas,20555370,ein,1629064928,ffs,36522,CPT,PHOTOPHERESIS,,percentage,80,institutional,Texas Health Southlake,Southlake,TX,76092
Blue Cross and Blue Shield of Texas,20555370,ein,1629064928,ffs,47562,CPT,LAPAROSCOPIC CHOLECYSTECTOMY,,percentage,80,institutional,Texas Health Southlake,Southlake,TX,76092
Blue Cross and Blue Shield of Texas,20555370,ein,1629064928,ffs,77373,CPT,SBRT DELIVERY,,percentage,80,institutional,Texas Health Southlake,Southlake,TX,76092
Aetna Life insurance Company,20555370,ein,1629064928,ffs,785,MS-DRG,CESAREAN SECTION W STERILIZATION W//O CC//MCC,,negotiated,11000,institutional,Texas Health Southlake,Southlake,TX,76092
UnitedHealthcare Insurance Company,20555370,ein,1629064928,ffs,785,MS-DRG,Cesarean Section with Sterilization without CC//MCC,,negotiated,14771,institutional,Texas Health Southlake,Southlake,TX,76092
