provider_state,billing_class,negotiated_rate
ME,professional,361.15
ME,professional,1107.23
ME,professional,1563.03
ME,professional,2209.9
ME,professional,2294.64
ME,professional,2268.4
CT,professional,386.3
CT,professional,1545.47
CT,professional,2931.47
CT,professional,3124.16
CT,professional,8513.97
TX,professional,169.5
TX,professional,517.18
TX,institutional,0.0
NH,institutional,9920.91
NH,institutional,11823.3
NH,institutional,13327.59
NH,institutional,20795.74
NH,institutional,52079.08
NH,institutional,67342.77
NH,institutional,44513.0
NH,institutional,89182.0
NH,institutional,222.91
NH,institutional,693.07
NH,institutional,952.21
NH,institutional,1101.76
NH,institutional,1532.93
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,80.0
TX,institutional,11000.0
TX,institutional,14771.0
TX,institutional,33684.46
TX,institutional,34171.08
TX,institutional,53763.29
TX,institutional,135272.54
TX,institutional,184792.03
TX,institutional,0.0
TX,institutional,4243.28
TX,institutional,38097.97
VT,institutional,5700.0
OK,institutional,10940.0
OK,institutional,14957.0
MA,institutional,145.7
MA,institutional,1656.0
MA,institutional,3011.0
MA,institutional,5661.0
MA,institutional,5661.0
MA,institutional,7279.0
MA,institutional,18535.0
MA,institutional,18834.0
MA,institutional,0.0
MA,institutional,0.0
MA,institutional,0.0
MA,institutional,0.0
MA,institutional,59.9
MA,institutional,7640.66
MA,institutional,9105.8
MA,institutional,10264.34
MA,institutional,16015.99
MA,institutional,40109.08
MA,institutional,51864.52
MA,institutional,12397.0
MA,institutional,0.0
MA,institutional,0.0
MA,institutional,45.0
MA,institutional,145.7
MA,institutional,3343.0
MA,institutional,18535.0
MA,institutional,18834.0
MA,institutional,5700.0
MA,institutional,5700.0
MA,institutional,222.91
MA,institutional,693.07
MA,institutional,952.21
MA,institutional,1101.76
MA,institutional,1532.93
MA,institutional,52.1
MA,institutional,67.3
MA,institutional,96.7
MA,institutional,5792.0
MA,institutional,5792.0
MA,institutional,6271.0
MA,institutional,16456.0
MA,institutional,19511.65
MA,institutional,21994.14
MA,institutional,34318.61
